mtv, surface, spherical_disproportion, sphericity, stv_ratio, max, min, mean, median, MAD, rms, energy, entropy, kurtosis, skewness, std, uniformity, variance, glcm_energy, glcm_contrast, glcm_entropy, glcm_homogeneity, glcm_correlation, glcm_sumaverage, glcm_variance, glcm_dissimilarity, glcm_autocorrelation, glrlm_sre, glrlm_lre, glrlm_gln, glrlm_rln, glrlm_rp, glrlm_lgre, glrlm_hgre, glrlm_srlge, glrlm_srhge, glrlm_lrlge, glrlm_lrhge, glrlm_glv, glrlm_rlv, glszm_sze, glszm_lze, glszm_gln, glszm_zsn, glszm_zp, glszm_lgze, glszm_hgze, glszm_szlge, glszm_szhge, glszm_lzlge, glszm_lzhge, glszm_glv, glszm_zsv, ngtdm_coarseness, ngtdm_contrast, ngtdm_busyness, ngtdm_complexity, ngtdm_strength, label
0.32314,0.3813,0.1327,0.64159,0.19942,0.80351,0.56654,0.74389,0.73772,0.62768,0.7449,0.21517,0.89742,0.080726,0.41275,0.62448,0.0068131,0.43786,0.0033155,0.093896,0.69429,0.26505,0.33943,0.012426,0.021101,0.20261,0.76702,0.96009,0.49791,0.03899,0.90013,0.9464,0.0036996,0.70872,0.0036846,0.72776,0.0037659,0.64362,0.33432,0.00011869,0.76249,0.14486,0.031104,0.54031,0.5355,0.0062342,0.64107,0.0061199,0.74529,0.0093323,0.1478,0.031626,5.1396e-05,0.020321,0.030924,0.017728,0.32303,0.17304,1
0.24183,0.3015,0.11688,0.64501,0.27163,0.15682,0.16072,0.14063,0.13319,0.13574,0.1372,0.015048,0.87911,0.041215,0.5467,0.12776,0.0068744,0.03908,0.0017196,0.2296,0.88294,0.20584,0.23005,0.011593,0.028215,0.39072,0.57738,0.97815,0.20867,0.031,0.94394,0.97034,0.0046907,0.51661,0.0046804,0.55261,0.0047354,0.40604,0.28915,0.00012277,0.75356,0.033691,0.028642,0.52815,0.65693,0.0066908,0.49945,0.0065554,0.55679,0.0078508,0.032533,0.050417,5.3565e-05,0.020237,0.074376,0.024034,0.50693,0.18841,1
0.3558,0.41764,0.1696,0.63377,0.18542,0.62542,0.1268,0.5569,0.55692,0.58122,0.56948,0.14904,0.95253,0.090804,0.3767,0.59319,0.0064205,0.40115,0.0021143,0.21943,0.85027,0.24313,0.44736,0.012116,0.03832,0.31321,0.71855,0.96387,0.41217,0.030963,0.90879,0.95246,0.0050564,0.65457,0.0050286,0.67293,0.0051704,0.58428,0.26288,9.2451e-05,0.77172,0.097119,0.026077,0.55594,0.55789,0.0078601,0.56105,0.0073562,0.67781,0.011608,0.10181,0.029244,4.0225e-05,0.01924,0.065464,0.015412,0.7406,0.4492,1
0.23905,0.29817,0.11302,0.64585,0.27344,0.10727,0.10987,0.096218,0.094673,0.092541,0.091606,0.010013,0.80056,0.042019,0.5403,0.082868,0.0075194,0.022387,0.0025322,0.1817,0.75329,0.23038,0.2,0.011692,0.023901,0.3311,0.59533,0.96937,0.34706,0.034865,0.9223,0.95871,0.0044275,0.52698,0.0044142,0.54979,0.0044868,0.45171,0.26144,0.0001076,0.72608,0.088018,0.02788,0.48846,0.55634,0.0072907,0.47209,0.0071461,0.45785,0.0096809,0.077499,0.028686,4.9103e-05,0.019815,0.058222,0.021703,0.4363,0.1613,1
0.32314,0.38498,0.15372,0.63711,0.20596,0.46139,0.37682,0.44356,0.43265,0.36439,0.44054,0.090993,0.97571,0.078799,0.44837,0.35896,0.0062803,0.17584,0.0022698,0.15545,0.80471,0.25416,0.31984,0.012316,0.025483,0.24896,0.7434,0.96614,0.38636,0.033759,0.91442,0.9549,0.0039666,0.69303,0.0039529,0.7224,0.0040246,0.59438,0.36894,0.00012948,0.71127,0.097908,0.027344,0.46953,0.53602,0.0067277,0.62388,0.0065766,0.58108,0.0091099,0.09748,0.028427,4.6841e-05,0.021711,0.038929,0.015625,0.48391,0.32318,1
0.20153,0.28977,0.33109,0.60167,0.39689,0.060916,0.10847,0.066773,0.075665,0.040515,0.059715,0.0061441,0.76533,0.046197,0.51528,0.036676,0.0079566,0.0085597,0.0017145,0.31919,0.87123,0.20689,0.23011,0.011251,0.034993,0.42077,0.50764,0.978,0.1973,0.029771,0.94322,0.9709,0.0072596,0.46498,0.0072464,0.49929,0.007319,0.35485,0.22198,9.2685e-05,0.71193,0.031193,0.02674,0.48321,0.64317,0.010612,0.50035,0.010414,0.50609,0.012218,0.024686,0.059375,6.3989e-05,0.027884,0.083324,0.01378,0.73383,0.4741,1
0.37318,0.43417,0.17464,0.63272,0.17444,0.98069,0.3244,0.86321,0.86624,0.97776,0.892,0.33268,0.9924,0.078523,0.38527,0.97249,0.006129,0.9512,0.0025962,0.16443,0.81151,0.25484,0.47572,0.012368,0.03449,0.26927,0.77487,0.96432,0.44083,0.03223,0.91039,0.95139,0.0037615,0.69355,0.0037478,0.71225,0.0038223,0.63331,0.28088,9.6266e-05,0.78755,0.13547,0.02676,0.57863,0.55808,0.0061183,0.51795,0.0059972,0.59153,0.0089288,0.14958,0.023107,3.6549e-05,0.018966,0.047673,0.015334,0.65112,0.44096,1
0.22585,0.31803,0.34254,0.59951,0.3676,0.20164,0.31073,0.21205,0.22187,0.15608,0.20555,0.022851,0.85763,0.045923,0.48813,0.15041,0.0071006,0.048719,0.0034874,0.094979,0.59434,0.24328,0.17961,0.012729,0.017184,0.21808,0.82958,0.97138,0.28835,0.043966,0.92683,0.96259,0.0045111,0.76303,0.0045008,0.80708,0.0045537,0.61468,0.52378,0.00018091,0.6818,0.071611,0.035301,0.4401,0.55172,0.0075913,0.72516,0.0074582,0.61889,0.0092646,0.075731,0.058778,7.7971e-05,0.024417,0.040954,0.016744,0.26222,0.2271,1
0.24392,0.30305,0.11354,0.64573,0.26819,0.29338,0.67124,0.39318,0.40897,0.10855,0.37418,0.055979,0.64792,0.20373,0.18091,0.10667,0.0092697,0.030837,0.013408,0.014723,0.064175,0.37336,0.14691,0.013314,0.010948,0.035902,0.96905,0.93146,1,0.083753,0.83553,0.90862,0.0042424,0.95713,0.0042203,0.94183,0.004347,1,0.76692,0.00025171,0.76827,1,0.046401,0.555,0.32867,0.011154,0.84646,0.011067,1,0.029978,1,0.028626,0.00024485,0.017238,0.015799,0.022499,0.058501,0.13251,0
0.09729,0.16674,0.35558,0.59708,0.61813,0.27415,0.30159,0.30173,0.30257,0.14858,0.29046,0.019531,0.54779,0.34875,0.19862,0.15966,0.0096724,0.052888,0.00445,0.23149,0.50074,0.28418,0.24487,0.012062,0.028753,0.25834,0.6827,0.96166,0.4572,0.04153,0.90373,0.94905,0.0079264,0.6458,0.0079124,0.66286,0.0079881,0.58012,0.438,0.00016228,0.76607,0.1162,0.030243,0.55194,0.52,0.014152,0.5394,0.014057,0.56671,0.016833,0.10972,0.055495,0.00014654,0.036756,0.14409,0.011887,0.43924,0.65335,0
