mtv, surface, spherical_disproportion, sphericity, stv_ratio, max, min, mean, median, MAD, rms, energy, entropy, kurtosis, skewness, std, uniformity, variance, glcm_energy, glcm_contrast, glcm_entropy, glcm_homogeneity, glcm_correlation, glcm_sumaverage, glcm_variance, glcm_dissimilarity, glcm_autocorrelation, label
0.3294,0.36809,0.025779,0.96551,0.16129,0.20782,0.32028,0.25591,0.28095,0.15913,0.24611,0.039727,0.81891,0.17253,0.33633,0.14432,0.1885,0.046044,0.53803,0.24087,0.52409,0.72271,0.64864,0.91628,0.37921,0.27491,0.91426,0
0.17026,0.22589,0.10268,0.86619,0.36193,0.17088,0.24119,0.16653,0.16918,0.13459,0.1613,0.013551,0.80122,0.32385,0.54894,0.12986,0.1534,0.039939,0.089451,0.16966,0.79066,0.44868,0.69002,0.72945,0.28622,0.28797,0.69369,0
0.27241,0.33023,0.11079,0.85601,0.23768,0.15022,0.24536,0.15881,0.1719,0.11075,0.15116,0.018527,0.85865,0.13622,0.45019,0.098447,0.11298,0.027816,0.20067,0.048988,0.59936,0.57833,0.4777,0.80862,0.072172,0.15888,0.77124,0
0.23002,0.29153,0.12913,0.8332,0.28935,0.16896,0.28237,0.18328,0.17382,0.13854,0.17639,0.019212,0.83907,0.0037223,0.52211,0.1249,0.12769,0.037921,0.059845,0.27809,0.82824,0.35548,0.45297,0.74565,0.3707,0.4057,0.7089,0
0,0,0,1,0.93693,0.014193,0,0,0,0.041617,0,0,0,1,0.95962,0.043294,1,0.010332,0.10015,1,0.60187,0,0,0.29735,1,1,0.23763,0
0.33773,0.39378,0.12823,0.83432,0.18646,0.045281,0.085729,0.096584,0.12224,0.04734,0.087649,0.013072,0.81568,0.064556,0.36797,0.037946,0.18279,0.0088945,0.39145,0.25102,0.56565,0.65617,0.59676,0.91482,0.37451,0.29478,0.91054,0
0.1786,0.23914,0.13663,0.82397,0.36131,0.017226,0.068062,0.042386,0.057512,0.028218,0.03562,0.0040438,0.87422,0.22366,0.51925,0.0214,0.093306,0.0047344,0.060127,0.37731,0.85523,0.36617,0.71271,0.60936,0.61004,0.45001,0.57817,0
0.27867,0.34892,0.18987,0.75964,0.25728,0,0.031218,0.038975,0.054559,0.016745,0.031307,0.0057085,0.90151,0.18249,0.42288,0.0095946,0.090198,0.0020325,0.040586,0.34805,0.94371,0.34593,0.59174,0.63544,0.51027,0.43325,0.59667,0
0.23419,0.31727,0.27613,0.66007,0.33446,0.035129,0.057094,0.054612,0.058999,0.038196,0.047931,0.0060744,0.80138,0.0062715,0.51199,0.031388,0.15869,0.0071936,0.087302,0.12202,0.73924,0.42017,0.46467,0.81578,0.16797,0.26245,0.78271,0
0.086866,0.16453,0.48424,0.44101,0.70511,0.014196,0.14124,0.043375,0.051116,0,0.034521,0.0021582,0.63001,0.23827,0.60688,0,0.28305,0,0.083341,0.34276,0.72461,0.32613,0.47023,0.64198,0.45055,0.43469,0.59646,0
0.28006,0.35917,0.24491,0.69546,0.27376,0.70908,0.5347,0.71971,0.73561,0.6387,0.72139,0.18059,0.88259,0.10303,0.37164,0.6136,0.098233,0.42492,0.27512,0.18403,0.59553,0.59079,0.54812,0.94463,0.26882,0.26609,0.94142,0
0.18763,0.24902,0.13839,0.8218,0.34836,0.75693,0.48464,0.6997,0.68098,0.78578,0.71658,0.12949,0.81823,0.13652,0.4428,0.74269,0.12817,0.59061,0.22286,0.15235,0.69186,0.47965,0.6538,0.91078,0.25474,0.2739,0.90268,0
0.123,0.21304,0.47785,0.44733,0.59962,0.11075,0.055642,0.09559,0.095535,0.11566,0.093943,0.0059569,0.66451,0.26492,0.60108,0.10902,0.26534,0.031721,0.059151,0.29853,0.86146,0.17922,0.52999,0.51683,0.42626,0.50014,0.46727,0
0.32801,0.39591,0.19026,0.75918,0.21333,0.63568,0.14887,0.53934,0.55071,0.61663,0.55277,0.13237,0.87812,0.038305,0.43385,0.58676,0.10896,0.3938,0.08533,0.28087,0.89335,0.4138,0.72501,0.68777,0.46806,0.39002,0.65697,0
0.18207,0.24718,0.1702,0.78314,0.36819,0.62272,0.29522,0.57235,0.57298,0.63621,0.58618,0.09032,0.79106,0.14121,0.40125,0.6166,0.1663,0.42847,0.12755,0.30787,0.76505,0.40365,0.60182,0.81049,0.46198,0.38809,0.79134,0
0.12161,0.20568,0.42557,0.49996,0.58214,0.056896,0.066193,0.063352,0.066732,0.065888,0.058999,0.003994,0.63007,0.28509,0.59933,0.060199,0.29123,0.015177,0.01956,0.36349,0.91076,0.16306,0.52105,0.4656,0.50892,0.53594,0.41787,0
0.29604,0.36357,0.17717,0.77478,0.23678,0.91692,0.47979,0.89908,0.90157,0.85792,0.90851,0.28191,0.86076,0.085105,0.38295,0.82573,0.12635,0.71121,0.29227,0.16901,0.5954,0.59695,0.60903,0.93273,0.26752,0.25445,0.92875,0
0.29743,0.38934,0.32347,0.60772,0.28212,0.45321,0.37622,0.40855,0.39918,0.41769,0.41168,0.076355,0.98141,0.010094,0.48697,0.3936,0.019168,0.20366,0.10203,0.22244,0.83173,0.45036,0.64138,0.68892,0.3502,0.33562,0.65019,0
0.18138,0.24938,0.19322,0.75568,0.37762,0.45622,0.30633,0.43249,0.42821,0.49041,0.4421,0.05717,0.85198,0.17118,0.42911,0.47039,0.11316,0.27214,0.12346,0.2842,0.76723,0.44081,0.65921,0.82094,0.4486,0.36789,0.8048,0
0.13343,0.22369,0.45175,0.47339,0.56476,0.012803,0.017506,0.023861,0.031069,0.033001,0.019403,0.0024139,0.71464,0.24581,0.62466,0.028462,0.21943,0.0064568,0,0.45301,0.99494,0.11056,0.46948,0.33645,0.59608,0.62086,0.29228,0
0.17582,0.2457,0.2123,0.73321,0.39334,0.99948,0.28185,0.87021,0.83745,1,0.90155,0.18336,0.77901,0.18479,0.34818,1,0.17695,1,0.29834,0.21306,0.57635,0.56843,0.9228,0.83324,0.4497,0.28726,0.82869,0
0.123,0.20716,0.42261,0.50298,0.57758,0.16156,0.13989,0.14246,0.13647,0.1811,0.14363,0.0092603,0.60032,0.27255,0.64169,0.16984,0.34972,0.057638,0.026682,0.49302,0.92696,0.11131,0.35312,0.43928,0.60245,0.66279,0.3871,0
